rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,95.99,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,88.41,94.43,2027,大成鋼,TWSE,鋼鐵,39.85,一般,3-5日延續,催化觀察,回踩承接,業績成長,37.67,25.48,3,25.04,48.78,5.98,7.7,1.8,-3.28,13.0,17.12,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
2,A,Y,95.15,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,87.17,91.77,6223,旺矽,TPEX,櫃半導體,5895.0,AI,3-5日延續,高勝率候選,整理待確認,業績成長,52.6,45.59,3,5.8,3.14,13.47,120.79,1.53,-11.55,12.0,18.54,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 整理待確認；題材 AI；訊號 3-5日延續
3,A,Y,93.95,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,81.05,93.46,2882,國泰金,TWSE,金融業,77.9,一般,3-5日延續,催化觀察,回踩承接,業績成長,199.95,63.43,2,-7.65,10.43,3.87,2.91,1.63,-4.53,15.0,12.29,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
4,A,Y,93.2,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,2,77.54,94.09,2330,台積電,TWSE,半導體,2265.0,CoPoS,待確認,一般觀察,回踩承接,業績成長,17.5,28.29,3,-10.93,11.46,11.58,27.25,0.85,-3.41,15.0,19.16,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 CoPoS；訊號 待確認
5,A,Y,92.86,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,78.36,91.36,2345,智邦,TWSE,通訊網路,2505.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,53.87,60.33,3,11.01,27.21,21.01,110.5,1.32,-7.05,14.0,14.02,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
6,A,Y,92.53,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,2,81.66,85.55,5536,聖暉*,TPEX,櫃其他電子,1025.0,AI,3-5日延續,高勝率候選,平台突破,業績成長,15.17,26.01,3,20.24,18.69,24.24,65.06,1.21,-2.84,12.0,18.13,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
7,A,Y,92.05,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,2,80.66,84.4,2376,技嘉,TWSE,電腦週邊,326.5,AI,3-5日延續,催化觀察,平台突破,業績成長,73.66,65.3,3,14.77,7.56,15.99,43.52,1.67,-1.95,14.0,12.8,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
8,A,Y,90.02,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,68.32,89.71,2357,華碩,TWSE,電腦週邊,641.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,45.71,32.89,3,18.87,21.22,7.01,26.18,1.25,-8.3,14.0,8.98,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
9,A,Y,89.86,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,70.31,86.42,2356,英業達,TWSE,電腦週邊,52.2,AI,3-5日延續,催化觀察,回踩承接,業績成長,36.53,27.4,2,24.88,3.48,14.1,19.18,1.29,-5.61,13.0,9.51,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
10,A,Y,89.42,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,73.32,80.44,2395,研華,TWSE,電腦週邊,459.5,AI,待確認,一般觀察,回踩承接,業績成長,34.61,20.88,3,13.85,2.2,25.55,59.83,1.05,-8.1,10.0,16.39,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
11,A,Y,89.39,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,77.39,75.2,6016,康和證,TPEX,櫃金融,22.1,一般,3-5日延續,催化觀察,追高風險,業績成長,151.85,95.28,3,0.56,4.3,28.49,40.32,0.81,-14.01,6.0,14.88,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 追高風險；題材 一般；訊號 3-5日延續
12,A,Y,89.26,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,2,67.58,86.82,3265,台星科,TPEX,櫃半導體,183.5,一般,3-5日延續,催化觀察,回踩承接,業績成長,37.89,27.11,3,-4.86,4.82,9.88,38.49,1.09,-4.92,6.0,13.2,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
