rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,funding_behavior_label,funding_behavior_reason,chips_trend_4d,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,96.61,early,早期起漲,Y,Y,early,早期起漲,N,N,,,4,3,5,94.0,90.57,2408,南亞科,TWSE,半導體,457.0,存儲記憶體,5-10日波段,波段布局,未明確,"法人占比 3.59% / 5日 12.20%；外資 +2,148 張，投信 -21 張，自營 +365 張；分點主力 +6,845 張，占比 6.51%；籌碼4日上升 1/3，20日報酬 8.04%，距60日高點 -9.50%；外資方向與5日法人方向一致",1,回踩承接,業績成長,719.61,690.36,3,12.2,6.51,8.04,46.71,0.81,-9.5,15.0,19.13,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 5/5；型態 早期起漲；結構 回踩承接；題材 存儲記憶體；資金 未明確；訊號 5-10日波段
2,A,Y,94.24,continuation,強勢續攻,Y,Y,continuation,強勢續攻,N,N,,,4,3,5,86.94,87.51,5351,鈺創,TPEX,櫃半導體,104.0,AI,5-10日波段,波段布局,未明確,"法人占比 14.12% / 5日 24.61%；外資 +7,965 張，投信 +315 張，自營 +186 張；分點主力 +7,300 張，占比 12.18%；籌碼4日上升 1/3，20日報酬 4.00%，距60日高點 -5.88%；外資方向與5日法人方向一致",1,回踩承接,業績成長,657.48,560.01,3,24.61,12.18,4.0,18.86,2.15,-5.88,14.0,19.06,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 5/5；型態 強勢續攻；結構 回踩承接；題材 AI；資金 未明確；訊號 5-10日波段
3,A,Y,92.53,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,5,76.08,92.54,6166,凌華,TWSE,電腦週邊,141.0,存儲記憶體,待確認,一般觀察,未明確,法人占比 -9.37% / 5日 6.47%；外資 -480 張，投信 +0 張，自營 -5 張；分點主力 -592 張，占比 -11.44%；籌碼4日上升 1/3，20日報酬 4.83%，距60日高點 -18.97%,1,結構未完成,業績成長,38.15,47.83,3,6.47,-11.44,4.83,25.89,1.03,-18.97,9.0,15.59,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 5/5；型態 早期起漲；結構 結構未完成；題材 存儲記憶體；資金 未明確；訊號 待確認
4,A,Y,91.73,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,5,77.24,87.08,2357,華碩,TWSE,電腦週邊,817.0,AI,3-5日延續,催化觀察,未明確,"法人占比 29.39% / 5日 17.54%；外資 +2,467 張，投信 -1,179 張，自營 +42 張；分點主力 -811 張，占比 -20.81%；籌碼4日上升 2/3，20日報酬 16.05%，距60日高點 -15.25%；外資方向與5日法人方向一致",2,整理待確認,業績成長,55.63,36.88,3,17.54,-20.81,16.05,27.46,1.0,-15.25,12.0,9.94,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 5/5；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 3-5日延續
5,A,Y,89.29,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,4,88.18,88.72,3006,晶豪科,TWSE,半導體,256.5,存儲記憶體,5-10日波段,波段布局,未明確,"法人占比 9.51% / 5日 27.66%；外資 +1,792 張，投信 +15 張，自營 +22 張；分點主力 +1,758 張，占比 9.14%；籌碼4日上升 0/3，20日報酬 12.50%，距60日高點 -6.22%；外資方向與5日法人方向一致",0,回踩承接,業績成長,491.06,372.07,3,27.66,9.14,12.5,2.19,1.71,-6.22,13.0,17.23,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 4/5；型態 早期起漲；結構 回踩承接；題材 存儲記憶體；資金 未明確；訊號 5-10日波段
6,A,Y,89.2,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,5,67.33,86.84,5388,中磊,TWSE,通訊網路,91.4,AI,3-5日延續,催化觀察,未明確,法人占比 5.30% / 5日 34.89%；外資 +45 張，投信 +1 張，自營 +220 張；分點主力 -38 張，占比 -0.75%；籌碼4日上升 1/3，20日報酬 7.03%，距60日高點 -3.79%；外資方向與5日法人方向一致,1,回踩承接,業績成長,51.3,64.03,3,34.89,-0.75,7.03,17.78,0.97,-3.79,8.0,9.08,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 5/5；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
7,A,Y,88.41,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,4,84.2,89.32,2301,光寶科,TWSE,電腦週邊,247.0,AI,5-10日波段,波段布局,未明確,"法人占比 7.06% / 5日 24.54%；外資 +2,129 張，投信 +20 張，自營 +148 張；分點主力 +632 張，占比 1.59%；籌碼4日上升 1/3，20日報酬 11.26%，距60日高點 -8.01%；外資方向與5日法人方向一致",1,回踩承接,業績成長,36.98,30.35,3,24.54,1.59,11.26,20.78,1.2,-8.01,15.0,16.52,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 4/5；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 5-10日波段
8,A,Y,87.64,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,4,85.07,84.36,2421,建準,TWSE,電子零組件,151.5,散熱,5-10日波段,波段布局,未明確,"法人占比 23.53% / 5日 38.14%；外資 +1,533 張，投信 -61 張，自營 -57 張；分點主力 +5,029 張，占比 43.22%；籌碼4日上升 1/3，20日報酬 9.78%，距60日高點 -14.89%；外資方向與5日法人方向一致；分點主力買超占比偏高",1,整理待確認,業績成長,31.65,21.74,3,38.14,43.22,9.78,8.21,2.38,-14.89,7.0,17.82,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 4/5；型態 早期起漲；結構 整理待確認；題材 散熱；資金 未明確；訊號 5-10日波段
9,A,Y,86.96,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,4,3,5,65.12,78.39,2880,華南金,TWSE,金融業,44.4,AI,3-5日延續,催化觀察,未明確,"法人占比 -15.33% / 5日 -2.80%；外資 -10,746 張，投信 +6,911 張，自營 +41 張；分點主力 +737 張，占比 2.98%；籌碼4日上升 1/3，20日報酬 13.85%，距60日高點 -1.66%；外資方向與5日法人方向一致",1,平台突破,業績成長,29.2,53.77,3,-2.8,2.98,13.85,37.04,0.9,-1.66,13.0,13.64,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 5/5；型態 強勢續攻；結構 平台突破；題材 AI；資金 未明確；訊號 3-5日延續
10,A,Y,86.46,early,早期起漲,Y,Y,early,早期起漲,N,N,,,4,3,5,64.05,77.23,3189,景碩,TWSE,半導體,823.0,AI,待確認,一般觀察,未明確,"法人占比 -12.72% / 5日 4.43%；外資 -1,661 張，投信 -142 張，自營 -199 張；分點主力 -1,618 張，占比 -10.28%；籌碼4日上升 1/3，20日報酬 0.49%，距60日高點 -12.35%",1,整理待確認,業績成長,35.85,33.71,3,4.43,-10.28,0.49,69.34,1.25,-12.35,14.0,14.89,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 5/5；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 待確認
